Provinsi;January;February;March;April;May;June;July;August;September;October;November;December;
Bali;2.228,09;1.330,44;1.463,33;1.347,84;1.394,88;1.671,15;1.334,22;2.176,59;1.071,15;1.600,14;1.650,31;1.144,72;
Banten;4.649,54;4.236,51;5.596,67;3.848,06;6.043,30;5.170,73;5.937,22;4.900,74;5.751,09;7.260,96;5.728,94;5.525,70;
Daerah Istimewa Yogyakarta;1.598,59;1.389,36;1.742,87;926,84;1.381,08;1.103,40;1.464,43;1.257,58;993,11;1.505,16;1.422,58;1.674,91;
Jambi;402.357,39;370.681,62;464.393,46;430.284,03;349.526,97;411.230,65;405.826,07;444.940,22;452.196,42;462.934,84;425.133,48;432.483,24;
Jawa Tengah;214.315,82;191.179,22;207.609,58;153.412,58;219.618,87;208.016,63;225.104,12;227.372,97;211.592,20;234.118,64;213.968,87;199.183,23;
Jawa Timur;285.516,01;228.519,33;246.975,56;192.850,90;271.864,51;268.457,16;284.533,40;280.099,05;271.568,76;281.783,39;266.243,97;217.879,22;
Kalimantan Barat;7.629,64;7.297,17;7.206,27;7.254,33;6.492,81;7.769,50;8.704,23;8.884,33;8.223,46;10.572,51;9.973,91;7.064,54;
Kalimantan Selatan;36.973,65;34.462,38;39.667,36;28.494,18;42.891,63;37.061,39;43.627,27;40.524,55;38.433,16;43.138,42;38.881,38;39.609,94;
Kalimantan Tengah;108.169,57;102.472,27;115.109,34;36.712,18;96.252,82;99.003,05;111.386,99;104.650,14;112.379,18;76.810,82;107.971,76;102.776,04;
Kalimantan Timur;53.958,31;50.416,94;48.277,69;47.788,33;62.196,92;64.572,88;78.979,92;62.474,48;53.661,07;41.888,55;35.613,00;24.617,61;
Kalimantan Utara;12.686,02;10.604,75;10.478,47;9.599,57;9.798,74;9.397,60;11.522,95;10.594,51;10.199,21;10.830,24;30.170,33;26.814,88;
Lampung;23.193,77;22.510,75;19.412,20;16.893,89;22.079,50;23.102,56;24.107,21;27.082,38;23.899,35;21.766,54;21.754,77;18.590,87;
Papua;20.208,49;14.827,21;20.146,69;16.035,93;18.806,70;19.111,42;22.978,46;23.757,56;22.028,36;25.681,25;22.620,74;18.831,10;
Riau;2.591.660,37;2.501.257,77;2.578.330,72;2.526.282,61;2.600.996,42;2.456.630,84;2.566.957,76;2.485.113,16;2.403.508,44;2.505.352,97;2.396.726,83;2.681.302,05;
Sulawesi Selatan;2.902,78;179,30;1.252,47;2.054,82;276,54;3.024,52;293,36;3.041,39;1.140,57;2.982,62;3.174,74;405,33;
Sumatera Barat;63,64;64,42;30,74;32,50;127,11;149,23;69,15;62,40;49,40;91,34;219,00;30,28;
Sumatera Selatan;1.116.898,77;1.193.609,79;1.288.861,83;1.095.586,86;1.069.073,78;1.195.529,36;1.200.039,45;1.178.992,54;1.077.122,45;1.132.887,95;1.141.131,78;1.091.419,44;
Sumatera Utara;46.812,42;54.747,75;164.834,05;160.464,36;166.160,39;154.902,13;149.401,95;166.991,57;150.505,13;85.183,87;157.606,09;129.615,26;
